NPA,Long_Commute_2014,Long_Commute_moe_2014,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2013,Sidewalk_Miles_2013,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
31,58,14,1.7,1.7,1.6,1.7,1.21,1.21,1.21,1.21,1.21,27.8,2.54,62,421,62,420,60,410,61,416,17,34,15,30,34,34
32,55,14,1.2,1.2,1.2,1.2,1.07,1.07,1.08,1.08,1.08,75.7,1.98,100,220,100,220,100,220,100,220,14,111,15,123,10,80
33,72,21,1.3,1.3,1.3,1.3,1.17,1.17,1.19,1.19,1.19,22.7,1.2,100,628,100,628,100,623,100,612,28,198,45,312,39,275
34,77,8,1.3,1.4,1.4,1.4,1.12,1.13,1.13,1.15,1.15,27,4.31,28,228,28,230,28,230,30,233,,,,,,
35,54,15,1.4,1.4,1.4,1.3,1.27,1.27,1.27,1.29,1.29,24.1,6.71,0,0,46,372,49,369,51,347,16,32,11,32,25,76
36,63,7,1.6,1.6,1.7,1.7,1.1,1.1,1.1,1.12,1.12,37.7,4.52,61,753,61,753,55,582,57,583,9,45,11,45,11,46
37,49,14,2.2,2.2,2.3,2.2,1.42,1.42,1.42,1.44,1.44,92.6,8.06,100,774,100,779,100,780,100,790,38,606,47,754,47,756
38,63,4,1.3,1.3,1.3,1.4,1.17,1.17,1.17,1.21,1.22,30.9,8.67,0,4,0,4,1,10,1,10,3,34,2,26,1,9
39,78,16,1.5,1.6,1.6,1.5,1.05,1.05,1.05,1.05,1.05,48.2,6.47,5,44,5,44,5,44,5,46,,,,,,
40,44,15,1.3,1.3,1.3,1.3,1.22,1.22,1.22,1.22,1.22,56.3,5.37,100,1191,100,1183,100,1183,100,1183,28,223,30,301,32,318
41,57,17,1.5,1.5,1.6,1.6,1.1,1.1,1.1,1.13,1.13,14.1,0.97,100,773,100,773,100,773,100,774,2,25,2,25,1,12
42,55,12,1.4,1.4,1.3,1.3,1.07,1.07,1.07,1.07,1.07,45.1,3.77,68,902,68,901,63,841,64,843,23,46,34,67,26,53
43,41,8,1.4,1.5,1.4,1.4,1.15,1.15,1.15,1.15,1.15,27.7,2.21,95,625,95,624,95,621,95,602,0,0,1,5,0,0
44,62,19,1.4,1.4,1.4,1.4,1.04,1.04,1.04,1.04,1.04,52.9,2.85,44,207,43,197,42,193,43,192,19,19,25,25,31,31
45,66,9,1.4,1.4,1.5,1.4,1.28,1.27,1.23,1.31,1.3,61.3,13.52,8,99,8,94,0,0,0,0,87,260,0,0,,
46,58,12,1.5,1.4,1.5,1.5,1.06,1.06,1.06,1.07,1.07,19.7,1.55,0,0,0,0,60,574,45,433,,,,,,
47,79,12,2,2,1.5,1.1,1.08,1.08,1.08,1.08,1.08,59.9,1.95,100,639,100,640,100,640,100,641,84,419,106,530,99,496
48,76,19,1.3,1.3,1.3,1.3,1.18,1.18,1.18,1.25,1.27,45.4,6.28,43,260,45,274,45,276,42,262,27,135,59,297,67,333
49,63,16,1.3,1.2,1.2,1.2,1.08,1.08,1.08,1.12,1.11,33.4,5.32,0,0,0,0,0,0,0,0,,,,,,
50,78,15,1.8,1.8,1.8,1.7,1.11,1.11,1.11,1.11,1.11,40.5,2.79,93,976,93,976,93,975,93,975,529,1587,435,1738,455,1822
51,40,11,1.8,1.7,1.8,1.9,1.35,1.35,1.34,1.38,1.38,75.3,7.8,100,765,100,732,100,737,100,737,68,813,80,876,110,987
52,42,23,1.2,1.2,1.2,1.2,1.04,1.03,1.03,1.05,1.08,78.7,6.29,100,551,100,551,100,889,100,892,62,986,73,1456,73,2178
53,56,8,1.7,1.7,1.8,1.8,1.2,1.2,1.2,1.16,1.16,48.5,5.3,100,1221,100,1222,100,1060,100,1057,47,1125,46,1195,46,1198
54,26,17,1.6,1.5,1.6,1.6,1.19,1.19,1.19,1.13,1.13,44.6,5.85,95,530,95,531,95,533,95,532,31,344,33,359,34,373
55,42,13,1.5,1.5,1.5,1.5,1.12,1.12,1.12,1.1,1.1,34.7,4.17,95,764,95,762,92,737,90,724,2,25,4,40,5,39
56,60,16,1.5,1.5,1.5,1.4,1.08,1.08,1.08,1.08,1.08,49.6,2.68,89,324,90,326,91,325,90,324,305,1222,322,1287,321,1285
57,90,18,1.4,1.4,1.5,1.5,1,1.03,1.03,1.09,1.12,52.2,2.05,100,669,100,669,100,669,100,683,81,242,69,274,36,180
58,86,3,1.4,1.4,1.3,1.4,1.17,1.17,1.17,1.17,1.17,60.3,3.64,100,484,100,485,100,485,100,485,78,859,75,825,58,811
59,78,12,1.5,1.5,1.5,1.5,1.15,1.15,1.15,1.15,1.15,26.4,2.6,100,1110,100,1110,100,1111,100,1111,373,2614,344,2407,163,1141
60,65,13,1.3,1.3,1.4,1.4,1.23,1.23,1.23,1.35,1.36,15.7,2.46,92,1275,90,1019,100,1128,100,997,85,1103,71,920,109,1421
