Parcel,2017Address,CITY,STATE,ZIP,2017TotalSubUnits,2017Source,2017PropertyName,NPA,HousingUnits,LAT,LONG,,,,,,
21129131,7108 SWANS RUN ROAD,CHARLOTTE,NC,28226,10,HUD,RSS SCATTERED HOMES,351,447,35.10950312,-80.79158351,,,,,,
21154107,3412 HILLSDALE WAY,Charlotte,NC,,49,CMHP,Brighton Place,351,447,35.10497795,-80.79317959,,,,,,
14913365,3420 PARK ROAD,Charlotte,NC,28209,10,CHA-HDP,YWCA FAMILIES TOGETHER,357,1446,35.18356188,-80.85435462,,,,,,
14920617,1315 E. WOODLAWN ROAD,Charlotte,NC,28209,104,CHA-HDP,WOODLAWN HOUSE,357,1446,35.17265517,-80.85394582,,,,,,
14520105,1210 PRESSLEY ROAD,Charlotte,NC,28217,504,LIHTC,PRESSLEY RIDGE,362,1299,35.19345135,-80.89502114,,,,,,
7708517,833 HOLLAND AVENUE,Charlotte,NC,,10,HTF,Druid Hills Rental,363,1199,35.25925888,-80.83058155,,,,,,
7904402,1145 KOHLER AVENUE,Charlotte,NC,28206,72,LIHTC,THE GABLES AT DRUID HILLS,363,1199,35.25074174,-80.83552582,,,,,,
7904402,2108 STATESVILLE AVENUE,Charlotte,NC,28206,63,LIHTC,GABLES AT DRUID HILLS,363,1199,35.25057574,-80.83558169,,,,,,
7906101,2436 LUCENA STREET,Charlotte,NC,,35,HTF,Moore Place Expansion,363,1199,35.25235549,-80.82781087,,,,,,
7906201,2416 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25264522,-80.82887502,,,,,,
7906201,2418 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25260681,-80.8288708,,,,,,
7906202,2412 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25255828,-80.82899031,,,,,,
7906202,2414 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2524663,-80.82889445,,,,,,
7906203,2408 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2524365,-80.82904788,,,,,,
7906203,2410 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2523526,-80.82896224,,,,,,
7906204,2404 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25229213,-80.82914515,,,,,,
7906204,2406 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25222751,-80.82905659,,,,,,
7906205,2400 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25218596,-80.82926002,,,,,,
7906205,2402 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2521302,-80.82913146,,,,,,
7906207,929 MORETZ AVENUE,Charlotte,NC,28206,120,CHA-HDP,MOORE PLACE,363,1199,35.25327706,-80.8281622,,,,,,
7906207,2435 LUCENA STREET,Charlotte,NC,,85,HTF,Moore Place,363,1199,35.25277076,-80.82802353,,,,,,
7906305,2420 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25320413,-80.82971507,,,,,,
7906305,2422 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25325038,-80.82974626,,,,,,
7906306,2416 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25306815,-80.82980247,,,,,,
7906306,2418 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25312768,-80.82986411,,,,,,
7906310,2411 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.2527145,-80.82938245,,,,,,
7906310,2415 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25278501,-80.82944434,,,,,,
7906311,2417 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25283115,-80.82930131,,,,,,
7906311,2419 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.2529128,-80.8293534,,,,,,
7906312,2421 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25297756,-80.829251,,,,,,
7906312,2423 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25303204,-80.82928238,,,,,,
7906313,2425 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25306973,-80.82915257,,,,,,
7906313,2427 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25315144,-80.8292013,,,,,,
7906314,2429 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25320821,-80.82908197,,,,,,
7906314,2431 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.2532544,-80.82911651,,,,,,
7906315,2433 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25332765,-80.82899755,,,,,,
7906315,2435 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25336545,-80.82904195,,,,,,
7906316,2437 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25340359,-80.82888199,,,,,,
